補助金名,補助金上限額,補助率,対象地域,従業員数の上限,募集期間,詳細URL,取得日時
意見募集,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/purpose/opinion?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.685751+00:00
保健医療局,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.686334+00:00
助成・給付金・融資,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/search?keyword=&category=163887,2025-08-27T10:13:07.686874+00:00
事業者募集,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/search?keyword=&category=163893,2025-08-27T10:13:07.686969+00:00
みんなの医療・健康情報チャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_medical?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.687560+00:00
医療・介護・福祉で働くチャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_welfare-careers?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.687653+00:00
働くひと応援チャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_workers?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.687729+00:00
IT・スマートライフチャンネル,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/channel/ch_smartlife?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.687797+00:00
健康・医療,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/search/?category=187586&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.688240+00:00
高齢者・福祉,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/search/?category=187589&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.688307+00:00
助成・給付金・融資,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/business/search/?category=188508&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.688674+00:00
事業者募集,,,東京都保健医療局,,,https://www.my.metro.tokyo.lg.jp/business/search/?category=188514&utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.688761+00:00
保健医療局の分野別,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/field,2025-08-27T10:13:07.689137+00:00
献血・移植医療,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kenkou/k_isyoku,2025-08-27T10:13:07.692171+00:00
医療政策,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo,2025-08-27T10:13:07.692331+00:00
医療政策 トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo,2025-08-27T10:13:07.692398+00:00
医療・保健施策,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken,2025-08-27T10:13:07.692457+00:00
救急・災害医療,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/kyuukyuu,2025-08-27T10:13:07.692511+00:00
その他の医療対策,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota,2025-08-27T10:13:07.692572+00:00
医療助成,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/josei,2025-08-27T10:13:07.692629+00:00
病院管理,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/kanri,2025-08-27T10:13:07.692682+00:00
医療法人の設立・運営,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/hojin,2025-08-27T10:13:07.692740+00:00
医療機関の方へ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/iryokikan,2025-08-27T10:13:07.693144+00:00
大気汚染医療費助成制度のご案内,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kankyo/kankyo-eisei,2025-08-27T10:13:07.693383+00:00
保健・医療を支える体制づくり,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kiban,2025-08-27T10:13:07.693644+00:00
保健・医療を支える体制づくり トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kiban,2025-08-27T10:13:07.693699+00:00
都立病院,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kiban/byouin,2025-08-27T10:13:07.693765+00:00
保健医療局トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/index.html,2025-08-27T10:13:07.693926+00:00
東京都医療機関等物価高騰緊急対策支援金（令和5年度下半期分）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka2,2025-08-27T10:13:07.694076+00:00
東京都医療機関等物価高騰緊急対策支援金（令和７年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka,2025-08-27T10:13:07.694140+00:00
民間医療機関向け補助金 Q&A,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/qa,2025-08-27T10:13:07.694290+00:00
民間医療機関向け補助金 お問合せ一覧,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/otoiawase,2025-08-27T10:13:07.694356+00:00
医療施設近代化施設整備事業【病院(一般・精神)】【診療所】,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/kindaika,2025-08-27T10:13:07.694416+00:00
地域医療構想推進事業（施設設備整備）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_sisetsuseibi,2025-08-27T10:13:07.694473+00:00
地域医療構想推進事業（中小病院支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_chuusyousien,2025-08-27T10:13:07.694535+00:00
地域医療構想推進事業（開設準備経費支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_kaisetsujunbi,2025-08-27T10:13:07.694593+00:00
地域医療構想推進事業（開設後人件費支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_jinkenhi,2025-08-27T10:13:07.694652+00:00
医療機器管理室施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/k_shisetsu,2025-08-27T10:13:07.694733+00:00
医療施設等アスベスト（石綿）除去等整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/asubesutojokyo,2025-08-27T10:13:07.694816+00:00
遠隔医療設備整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/enkaku,2025-08-27T10:13:07.694880+00:00
緩和ケア病棟整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/kanwakeabyoutouseibijigyou,2025-08-27T10:13:07.694949+00:00
令和７年度医療機関診療情報サイバーセキュリティ対策支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/cybersecurity,2025-08-27T10:13:07.695013+00:00
令和7年度医療機関診療情報デジタル導入支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/digital_dounyu,2025-08-27T10:13:07.695095+00:00
令和6年度東京都在宅歯科医療設備整備事業【※募集終了】,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/zaitakusikairyousetubiseibi,2025-08-27T10:13:07.695158+00:00
東京都医療機関等物価高騰緊急対策支援金（令和6年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka3,2025-08-27T10:13:07.695219+00:00
令和7年度医療DX人材育成支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/dx_zinzai,2025-08-27T10:13:07.695281+00:00
地域医療確保に係る緊急・臨時支援事業支援金（令和7年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-kinkyurinji,2025-08-27T10:13:07.695341+00:00
令和７年度東京都在宅歯科医療設備整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/zaitakusikairyousetubiseibi07,2025-08-27T10:13:07.695400+00:00
小児・産科・救急医療受入推進事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/shonisankakyukyu,2025-08-27T10:13:07.695478+00:00
在宅医療現場における防犯機器等導入支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bouhan,2025-08-27T10:13:07.695537+00:00
障害者歯科医療設備整備補助事業（令和７年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/shougaishasika,2025-08-27T10:13:07.695599+00:00
地域医療確保に係る緊急・臨時支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-kinkyurinji,2025-08-27T10:13:07.695703+00:00
東京都医療機関等物価高騰緊急対策支援金（令和７年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka.html,2025-08-27T10:13:07.695773+00:00
東京都医療機関等物価高騰緊急対策支援金（令和６年度）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka3,2025-08-27T10:13:07.695827+00:00
東京都医療機関等物価高騰緊急対策支援金（令和5年度下半期分）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka2.html,2025-08-27T10:13:07.695889+00:00
令和6年度医療機関診療情報デジタル導入支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/digital_dounyu.html,2025-08-27T10:13:07.695958+00:00
令和6年度診療所診療情報デジタル推進事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/digital_dounyu.html,2025-08-27T10:13:07.696006+00:00
令和6年度病院診療情報サイバーセキュリティ対策支援事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/cybersecurity.html,2025-08-27T10:13:07.696072+00:00
看護師等養成所耐震整備事業（国庫補助事業）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/taisinnseibi.html,2025-08-27T10:13:07.696156+00:00
看護師の特定行為に係る指定研修機関等施設整備事業（国庫補助事業）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/tokuteikoui.html,2025-08-27T10:13:07.696248+00:00
医療施設近代化施設整備事業（結核）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/kekkaku/kindaika.html,2025-08-27T10:13:07.696355+00:00
看護師勤務環境改善施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/kinmu.html,2025-08-27T10:13:07.696416+00:00
看護外来相談開設促進事業施設整備費補助事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/kangogairai.html,2025-08-27T10:13:07.696471+00:00
看護師宿舎施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/syukusya.html,2025-08-27T10:13:07.696533+00:00
民間医療機関向け補助金 Q&A,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/qa.html,2025-08-27T10:13:07.696636+00:00
民間医療機関向け補助金 お問合せ一覧,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/otoiawase.html,2025-08-27T10:13:07.696701+00:00
医療施設近代化施設整備事業【病院(一般・精神)】【診療所】,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/kindaika.html,2025-08-27T10:13:07.696760+00:00
地域医療構想推進事業（施設設備整備）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_sisetsuseibi.html,2025-08-27T10:13:07.696825+00:00
地域医療構想推進事業（中小病院支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_chuusyousien.html,2025-08-27T10:13:07.696895+00:00
地域医療構想推進事業（開設準備経費支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_kaisetsujunbi.html,2025-08-27T10:13:07.696959+00:00
地域医療構想推進事業（開設後人件費支援）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/chiikiiryoukousou_jinkenhi.html,2025-08-27T10:13:07.697025+00:00
医療機器管理室施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/k_shisetsu.html,2025-08-27T10:13:07.697113+00:00
医療施設等アスベスト（石綿）除去等整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/asubesutojokyo.html,2025-08-27T10:13:07.697196+00:00
遠隔医療設備整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/enkaku.html,2025-08-27T10:13:07.697261+00:00
緩和ケア病棟整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/kanwakeabyoutouseibijigyou.html,2025-08-27T10:13:07.697316+00:00
令和6年度東京都地域医療構想推進事業（経営研修会・個別相談会）の募集について,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/kensyuu,2025-08-27T10:13:07.697391+00:00
令和6年度東京都地域医療構想推進事業（転換促進支援）の募集について,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/tenkansokushin,2025-08-27T10:13:07.697455+00:00
令和6年度地域医療構想推進事業（転換実行支援）の募集について,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/tenkanjikkou,2025-08-27T10:13:07.697522+00:00
医療政策部所管医療機関等支援事業の概要,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/jigyougaiyou,2025-08-27T10:13:07.697584+00:00
令和7年度 東京都地域医療連携システムデジタル環境整備推進事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/ict,2025-08-27T10:13:07.697647+00:00
民間医療機関向け補助金概要,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou,2025-08-27T10:13:07.697710+00:00
民間医療機関向け補助金概要トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou,2025-08-27T10:13:07.697756+00:00
看護師等養成所耐震整備事業（国庫補助事業）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/taisinnseibi,2025-08-27T10:13:07.698699+00:00
看護師の特定行為に係る指定研修機関等施設整備事業（国庫補助事業）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/tokuteikoui,2025-08-27T10:13:07.698763+00:00
看護外来相談開設促進事業施設整備費補助事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/kangogairai,2025-08-27T10:13:07.698831+00:00
東京都新人看護職員研修事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/shinjinkango,2025-08-27T10:13:07.698888+00:00
医師臨床研修病院研修医環境整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/k_seibi,2025-08-27T10:13:07.698954+00:00
看護師勤務環境改善施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/kinmu,2025-08-27T10:13:07.699014+00:00
看護師等養成所施設整備等補助事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/jigyou,2025-08-27T10:13:07.699075+00:00
看護師宿舎施設整備事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/syukusya,2025-08-27T10:13:07.699138+00:00
看護師等養成所運営費補助,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/hojo/uneihi,2025-08-27T10:13:07.699194+00:00
令和7年度 医療機関におけるＡＩ技術活用促進事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/ai,2025-08-27T10:13:07.699260+00:00
東京都生産性向上・職場環境整備等支援事業補助金,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/productivity,2025-08-27T10:13:07.699364+00:00
医療施設等経営強化緊急支援事業（厚生労働省令和６年度補正予算）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/kinkyushien_package,2025-08-27T10:13:07.700848+00:00
医療機関におけるデジタル化の支援について|医療・保健施策|東京都保健医療局,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital,2025-08-27T10:13:09.865790+00:00
東京都医療機関デジタル化推進セミナー（基礎編）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital/digitalseminar,2025-08-27T10:13:09.885115+00:00
東京都医療機関デジタル化推進セミナー（第1回応用編）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital/digitalseminaroyo1,2025-08-27T10:13:09.885180+00:00
東京都医療機関デジタル化推進セミナー（第2回応用編）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital/digitalseminaroyo2,2025-08-27T10:13:09.885239+00:00
東京都医療機関デジタル化推進セミナー（第３回応用編）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital/digitalseminaroyo3,2025-08-27T10:13:09.885311+00:00
電子カルテを導入している病院及び一般診療所（令和７年８月１日現在）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital/denkarudounyuukouhyou,2025-08-27T10:13:09.885401+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/ictkiban.html,2025-08-27T10:13:09.885574+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/clinic_digital_suishin.html,2025-08-27T10:13:09.885635+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/digital_dounyu.html,2025-08-27T10:13:09.885698+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/dx_zinzai,2025-08-27T10:13:09.885760+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/ict.html,2025-08-27T10:13:09.885815+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/cybersecurity.html,2025-08-27T10:13:09.885870+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/ai.html,2025-08-27T10:13:09.885927+00:00
コチラ（補助金ページへ移動）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/denshisyohosen.html,2025-08-27T10:13:09.885982+00:00
医療機関におけるデジタル化の支援について,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital,2025-08-27T10:13:09.886102+00:00
医療機関におけるデジタル化の支援についてトップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/iryodigital,2025-08-27T10:13:09.886150+00:00
医療機関における電子処方箋の活用・普及の促進事業,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/denshisyohosen,2025-08-27T10:13:09.886498+00:00
オンライン歯科診療等,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/online-shika,2025-08-27T10:13:09.886585+00:00
オンライン診療等,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/onlineshinryo,2025-08-27T10:13:09.886641+00:00
オンライン診療等トップ,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/onlineshinryo,2025-08-27T10:13:09.886687+00:00
オンライン診療等（医療機関の皆様向け）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/onlineshinryo/iryokikan,2025-08-27T10:13:09.886759+00:00
オンライン診療等（都民の皆様向け）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/onlineshinryo/tomin,2025-08-27T10:13:09.886818+00:00
オンライン診療等を実施する医療機関への支援,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/onlineshinryo/r32kankyoseibi,2025-08-27T10:13:09.886876+00:00
「令和3年度遠隔医療従事者研修」の開催について（厚生労働省事業）,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/onlineshinryo/enkaku_kensyu03,2025-08-27T10:13:09.886955+00:00
